rank,service_number,first_name,last_name,date_of_award,country,aircraft_type,flight_hours,flight_missions,flight_awards
Major,7749602,Saundra,Geane,10/24/2022,Kosovo,F-35,1757,682,Air Medal
Private,7141422,Kristoforo,Pighills,10/5/2022,China,F-16,9822,196,Distinguished Flying Cross
Major,4271835,Susana,Cornock,9/16/2022,Georgia,F-18,775,437,Air Force Commendation Medal
Colonel,4583871,Meridel,Althorp,7/29/2022,Poland,F-22,2343,501,Air Force Achievement Medal
General,7771157,Bobbette,Vasnev,7/14/2022,Japan,F-22,6688,631,Air Force Commendation Medal
Lieutenant,4216478,Joella,Winslade,3/3/2023,Ethiopia,F-18,7196,416,Air Force Commendation Medal
Colonel,1075621,Cosmo,Kingsley,4/17/2022,Haiti,F-18,54,937,Distinguished Flying Cross
Corporal,5436333,Annabella,Aizkovitch,4/12/2022,China,F-22,2515,342,Distinguished Flying Cross
Major,4135130,Kimball,Sitch,10/10/2022,Sweden,A-10,9904,228,Air Force Achievement Medal
Lieutenant,8501148,Arleta,Bough,1/7/2023,China,F-35,4127,663,Distinguished Flying Cross
General,8259837,Wyndham,Coulthard,4/28/2022,Ukraine,F-16,8512,219,Air Medal
General,8988081,Zolly,Evesque,10/27/2022,Indonesia,F-22,5994,484,Air Force Achievement Medal
General,6089672,Hermina,Darby,3/22/2023,Tunisia,F-35,1994,623,Air Force Commendation Medal
Captain,6832826,Kirbee,Meenehan,7/6/2022,Portugal,F-35,4296,851,Air Medal
Captain,2670863,Amy,Fittall,11/2/2022,Brazil,F-35,8106,780,Air Force Achievement Medal
Sergeant,7806774,Caprice,Blackney,3/18/2023,Indonesia,F-22,6857,702,Air Force Commendation Medal
Corporal,2631851,Rolph,Marskell,1/30/2023,Finland,F-16,2116,407,Air Force Commendation Medal
Private,8976082,Darsey,Bravington,12/30/2022,Russia,F-22,5775,52,Air Force Commendation Medal
Major,1919116,L;urette,Bulbrook,4/25/2022,Brazil,F-16,8184,252,Air Medal
Captain,6450098,Brion,Le Noury,8/6/2022,Comoros,F-16,8914,337,Air Force Achievement Medal
Corporal,7692053,Rudolph,Habberjam,5/13/2022,China,F-22,3323,880,Distinguished Flying Cross
Captain,5547142,Nesta,Hestrop,6/6/2022,China,F-35,7405,601,Air Medal
Colonel,3315880,Fallon,Skoggins,11/20/2022,Indonesia,F-22,6907,611,Distinguished Flying Cross
Captain,2534246,Lula,Dinzey,1/12/2023,Indonesia,F-18,7929,101,Air Medal
Major,8719387,Adrien,Fulloway,10/26/2022,Poland,F-22,8852,366,Air Force Achievement Medal
Sergeant,9420017,Erasmus,Sharram,12/25/2022,Luxembourg,A-10,4851,619,Air Medal
Private,9338533,Whitney,Cona,10/20/2022,Indonesia,F-22,3507,215,Air Force Commendation Medal
Colonel,8520463,Geoffrey,Fraser,11/9/2022,China,F-22,5065,81,Distinguished Flying Cross
Major,2990673,Giffy,Jiggens,10/10/2022,Poland,F-35,3882,224,Air Force Commendation Medal
Major,6663219,Josephina,Yea,3/24/2023,France,F-22,595,637,Air Force Achievement Medal
Captain,1156112,Torr,Kellert,7/24/2022,China,F-22,5504,590,Distinguished Flying Cross
General,7760155,Mendie,Beagen,3/13/2023,Portugal,F-18,2745,308,Distinguished Flying Cross
Captain,1978978,Pauline,Footitt,9/3/2022,China,F-16,6761,584,Air Force Commendation Medal
Major,9053590,Bail,Hold,11/24/2022,China,F-16,6442,155,Air Medal
Colonel,6218224,Antonin,Doul,9/5/2022,North Korea,A-10,6850,756,Air Force Achievement Medal
General,1573738,Iormina,Caughan,2/26/2023,China,F-18,7773,425,Air Force Achievement Medal
Sergeant,1144465,Domenico,Hansemann,2/4/2023,China,A-10,9775,26,Air Force Achievement Medal
Captain,8975398,Karen,Foltin,2/10/2023,Indonesia,F-22,6828,970,Air Medal
Colonel,9406775,Sher,Russell,9/24/2022,Dominican Republic,F-18,7635,56,Air Force Commendation Medal
Colonel,7299119,Goober,Gonzalo,7/21/2022,Poland,F-22,981,151,Distinguished Flying Cross
Corporal,4246456,Charita,Roffey,3/19/2023,Czech Republic,F-22,4039,713,Distinguished Flying Cross
Colonel,2197532,Averil,Jillard,12/4/2022,Argentina,A-10,8457,95,Air Force Achievement Medal
Captain,7690933,Rhodie,Goodinge,2/28/2023,China,F-18,7653,885,Air Force Achievement Medal
Sergeant,5352541,Marice,Leadbeater,2/14/2023,Canada,F-35,6484,956,Distinguished Flying Cross
Colonel,5078155,Lezley,Wooller,9/6/2022,Canada,F-35,5857,963,Distinguished Flying Cross
Sergeant,4389294,Harriot,Brettelle,10/24/2022,Philippines,F-22,3348,608,Air Force Commendation Medal
Major,4269882,Gothart,Gommey,9/3/2022,Czech Republic,F-16,1634,73,Air Force Commendation Medal
Corporal,9399975,Eduardo,Pearcy,3/9/2023,Sweden,A-10,7326,112,Air Medal
Major,7455261,Cloe,Strongman,2/3/2023,Indonesia,F-35,5825,206,Air Medal
General,4630744,Sansone,Fleg,4/19/2022,China,F-18,2063,127,Air Force Commendation Medal
Sergeant,7640520,Cedric,Offin,5/29/2022,Anguilla,F-35,33,661,Air Force Commendation Medal
Sergeant,9466976,Ree,Komorowski,12/5/2022,Sweden,F-22,8069,637,Air Force Commendation Medal
Captain,9311436,Hercule,Doy,5/5/2022,Russia,A-10,4352,687,Air Force Achievement Medal
Major,7558808,Claresta,Teresi,11/21/2022,Czech Republic,F-18,6213,477,Air Force Achievement Medal
Major,9963801,Alida,Porcas,1/24/2023,Sweden,F-22,5411,218,Air Force Commendation Medal
Lieutenant,1460780,Barret,Kreutzer,12/19/2022,Philippines,F-18,4292,917,Air Force Achievement Medal
Lieutenant,1845369,Cookie,Entreis,1/12/2023,Colombia,F-18,9117,931,Air Force Achievement Medal
Private,6168939,Rebbecca,Vigers,9/3/2022,Sweden,F-35,1985,642,Distinguished Flying Cross
Sergeant,7997210,Alberik,Gaywood,8/9/2022,Yemen,F-35,7068,361,Air Force Commendation Medal
General,5296387,Urban,Brimicombe,8/17/2022,Brazil,F-35,7852,701,Distinguished Flying Cross
Private,7406619,Bev,Stainton,5/28/2022,Russia,F-16,1568,597,Air Force Commendation Medal
Colonel,9954049,Birgitta,Hince,1/1/2023,Ukraine,A-10,1098,669,Air Medal
Private,2038300,Roslyn,Whitnell,5/23/2022,Argentina,F-18,1392,705,Distinguished Flying Cross
Corporal,7355776,Krishna,Persicke,7/7/2022,China,F-16,1725,441,Distinguished Flying Cross
Major,1680048,Sarette,Fadian,7/12/2022,Philippines,F-16,8436,916,Air Force Achievement Medal
Colonel,7267632,Cobby,Pavlovic,8/8/2022,Poland,F-35,7273,124,Distinguished Flying Cross
Lieutenant,9737710,Angele,Barrand,10/10/2022,Tanzania,A-10,6374,335,Distinguished Flying Cross
Captain,2888442,Ellswerth,Davidzon,6/10/2022,China,F-35,8111,736,Distinguished Flying Cross
Captain,5946952,Leupold,Thoms,12/8/2022,China,F-22,438,102,Air Force Commendation Medal
Private,8772735,Quinton,Coniff,2/2/2023,Yemen,F-16,345,893,Air Force Commendation Medal
Lieutenant,6269275,Ray,Chattell,12/13/2022,China,F-35,3002,500,Air Force Commendation Medal
Colonel,4941287,Andie,Hardisty,3/9/2023,Argentina,F-18,3934,547,Distinguished Flying Cross
Colonel,3605265,Donnajean,Faircliff,10/25/2022,Mexico,F-16,4554,618,Air Force Commendation Medal
Colonel,6739926,Mort,Norwood,12/3/2022,Sweden,F-22,2188,288,Air Force Commendation Medal
Sergeant,8886508,Sheppard,Walling,11/30/2022,Togo,F-35,4612,737,Distinguished Flying Cross
Major,1780537,Marlyn,Bolland,11/6/2022,Indonesia,F-16,2402,611,Distinguished Flying Cross
Private,6702584,Devlin,Pote,6/24/2022,Chile,F-22,1760,267,Air Force Commendation Medal
Lieutenant,7204173,Kendre,Bahde,9/24/2022,Sweden,F-35,6030,12,Air Force Commendation Medal
Major,7489829,Edlin,Sterman,4/3/2023,South Africa,F-18,975,515,Air Medal
Colonel,5913358,Forbes,Birkmyre,3/6/2023,Indonesia,F-22,5761,497,Air Force Commendation Medal
Colonel,8856053,Marquita,Gerty,2/6/2023,Sweden,F-22,5735,762,Air Force Commendation Medal
Private,4255950,Otes,Gyorffy,1/3/2023,Malta,F-35,1704,578,Distinguished Flying Cross
Private,8970740,Callie,Aveyard,5/10/2022,Cuba,F-35,6469,534,Air Medal
General,2608624,Tiffani,MacAdam,2/10/2023,Philippines,F-35,3059,781,Air Medal
Corporal,4268190,Adriano,Dewdney,9/20/2022,China,F-16,690,928,Air Force Achievement Medal
General,1617963,Tomkin,Domoni,12/27/2022,Mauritius,F-35,8637,989,Distinguished Flying Cross
Sergeant,1496287,Gabrila,Hutchens,11/22/2022,Myanmar,F-35,2332,167,Air Medal
Lieutenant,4927934,Ashlen,Kinnach,6/14/2022,Morocco,F-22,808,52,Air Force Commendation Medal
Lieutenant,2380346,Hugh,Swatradge,1/25/2023,Indonesia,F-22,1351,194,Distinguished Flying Cross
Sergeant,9116780,Reidar,Dran,3/16/2023,Zimbabwe,F-35,7005,85,Air Force Commendation Medal
Corporal,5976142,Orion,McSperrin,6/22/2022,United States,F-18,4313,815,Air Medal
Sergeant,5623009,Raven,Karpenya,4/26/2022,China,F-22,3869,927,Air Force Achievement Medal
Private,6805391,Moss,Ruddy,2/19/2023,China,F-22,4588,617,Distinguished Flying Cross
Captain,1598475,Cord,Flindall,3/25/2023,Canada,F-16,6990,193,Air Force Commendation Medal
General,2123017,Sal,Mashal,10/7/2022,Guatemala,A-10,3092,420,Air Medal
Major,5924832,Corabelle,Ramshay,12/3/2022,China,F-16,7899,857,Air Force Achievement Medal
Lieutenant,4256024,Eimile,Whale,11/10/2022,Portugal,A-10,2578,731,Air Medal
Private,6450256,Sidney,Maffiotti,3/28/2023,Tunisia,A-10,734,522,Air Medal
Private,2275352,Cyndi,McKillop,7/31/2022,Kazakhstan,F-22,992,558,Air Force Achievement Medal
Major,7770214,Masha,Bleazard,10/14/2022,North Korea,F-35,9799,277,Air Medal
Captain,7177357,Val,McRae,6/18/2022,China,F-35,9554,49,Air Force Achievement Medal
Lieutenant,4968848,Winfred,Di Bernardo,4/13/2022,Palau,F-35,5939,220,Air Medal
Sergeant,4636455,Bendite,Kassidy,8/21/2022,Chile,F-22,1241,129,Air Force Commendation Medal
Colonel,1045767,Ernie,Reddecliffe,10/12/2022,Uzbekistan,F-18,2925,322,Air Force Commendation Medal
Corporal,7174405,Wright,Orsay,11/2/2022,China,F-18,9199,475,Air Force Commendation Medal
Sergeant,2052501,Tiertza,Pimm,1/15/2023,Philippines,A-10,2528,405,Air Medal
General,6711189,Meryl,Siaspinski,1/7/2023,Sierra Leone,F-16,7077,588,Distinguished Flying Cross
Lieutenant,7739629,Nessie,Heintz,10/25/2022,Ethiopia,A-10,4536,598,Air Force Commendation Medal
Colonel,6523416,Daniella,Pittel,8/18/2022,Philippines,F-22,3558,524,Distinguished Flying Cross
General,8759516,Patrice,Nossent,11/29/2022,Philippines,F-16,487,77,Air Force Commendation Medal
Private,5213746,Lindsey,Broszkiewicz,1/11/2023,China,A-10,8303,932,Air Force Commendation Medal
Captain,5169369,Mortimer,Kleuer,3/24/2023,Brazil,F-18,3567,879,Distinguished Flying Cross
Major,6452899,Aime,Featherstonehaugh,2/26/2023,Indonesia,F-22,2254,134,Air Medal
Private,6152167,Rubetta,Glasspoole,9/20/2022,China,F-35,5510,369,Air Medal
Private,2020981,Addie,Mudd,9/30/2022,Bosnia and Herzegovina,F-18,5335,919,Distinguished Flying Cross
Major,9969628,Hayley,covino,8/13/2022,Indonesia,F-18,9429,260,Air Force Achievement Medal
Major,5785299,Cloris,Lecky,7/22/2022,Indonesia,F-35,4725,28,Air Force Achievement Medal
Corporal,2296230,Serena,Goodley,10/18/2022,France,A-10,2040,391,Air Force Achievement Medal
Colonel,5546838,Ferne,Melesk,10/16/2022,United States,F-35,7897,322,Distinguished Flying Cross
Sergeant,9370914,Hansiain,Borell,1/27/2023,China,F-22,4079,367,Air Force Commendation Medal
Lieutenant,1035204,Cyril,Tamsett,6/9/2022,Indonesia,A-10,9947,923,Air Force Achievement Medal
Major,7114555,Carolina,Kohler,10/29/2022,Israel,F-35,4039,114,Air Medal
Captain,1552141,Gunther,Sawood,3/27/2023,Angola,F-16,8458,546,Distinguished Flying Cross
General,7951941,Tuesday,Tinwell,10/17/2022,Afghanistan,F-18,2994,930,Air Force Achievement Medal
Captain,5544562,Yorgos,Peploe,5/16/2022,Portugal,F-22,1378,81,Air Force Commendation Medal
General,7152861,Chicky,Penniall,11/5/2022,Thailand,F-35,9537,836,Distinguished Flying Cross
Captain,5155755,Kenyon,Ferraresi,7/19/2022,Russia,F-18,7825,332,Distinguished Flying Cross
Colonel,3884643,Alistair,Menego,3/24/2023,Philippines,A-10,3901,518,Air Force Achievement Medal
Major,7496950,Lane,Overstone,5/15/2022,Botswana,F-16,4470,904,Distinguished Flying Cross
Sergeant,7842529,Juditha,Parnall,5/24/2022,Mauritius,F-16,5564,515,Distinguished Flying Cross
Captain,1537472,Gaspar,Kupisz,2/14/2023,Finland,F-22,4486,437,Air Force Commendation Medal
Corporal,6262627,Leeann,Simkins,9/22/2022,Sweden,F-18,5199,741,Distinguished Flying Cross
Lieutenant,5530914,Kizzee,Brandenburg,7/27/2022,China,F-16,8491,903,Air Force Commendation Medal
Sergeant,2217489,Claudell,Breache,5/2/2022,Poland,A-10,1004,297,Distinguished Flying Cross
Corporal,4414372,Lia,Yepiskov,7/19/2022,Thailand,A-10,3440,264,Air Force Achievement Medal
General,7446787,Far,Tunney,7/4/2022,Japan,F-18,8079,429,Air Force Achievement Medal
Private,3117032,Grier,Abrahamsen,8/17/2022,China,F-18,7175,874,Air Force Achievement Medal
Colonel,9901742,Jeanelle,Estcot,7/26/2022,Poland,F-35,9717,676,Distinguished Flying Cross
Corporal,6223627,Haven,Linge,12/28/2022,Russia,A-10,6217,505,Air Medal
General,4706365,Conrade,Monan,12/19/2022,Yemen,F-18,6714,902,Distinguished Flying Cross
General,4507081,Noland,Cutchee,9/12/2022,Portugal,F-18,4620,544,Air Force Achievement Medal
Major,6713440,Earvin,Ortler,11/17/2022,France,F-18,6708,53,Air Force Achievement Medal
Private,8151509,Sherwood,Fearneley,5/10/2022,Indonesia,F-35,582,208,Air Force Commendation Medal
Lieutenant,3869225,Vidovic,Alldred,12/3/2022,Thailand,A-10,1851,748,Air Force Commendation Medal
Colonel,6225472,Elyssa,Lapham,7/12/2022,Indonesia,F-16,3779,235,Air Force Achievement Medal
Sergeant,3130338,Binnie,O'Halleghane,6/20/2022,Thailand,F-16,4945,620,Air Medal
Sergeant,8955704,Carlynn,Sainz,12/1/2022,Philippines,F-35,3711,490,Air Medal
Private,7912364,Tobe,Farn,1/29/2023,Sweden,A-10,9712,645,Air Force Achievement Medal
Corporal,4552404,Waldon,Lackey,7/5/2022,Indonesia,A-10,218,279,Air Force Commendation Medal
Corporal,7841690,Brooks,Tomalin,9/27/2022,Indonesia,A-10,275,163,Air Force Commendation Medal
Colonel,9471744,Farrand,Abrahamson,12/29/2022,Nepal,F-16,297,566,Air Medal
General,1685322,Kizzee,Dibb,6/30/2022,Philippines,F-18,1432,519,Distinguished Flying Cross
Major,8076446,Marcia,Maber,12/6/2022,Bangladesh,A-10,1809,693,Air Force Achievement Medal
Corporal,5200247,Auberta,Maleham,4/24/2022,France,F-18,8853,438,Distinguished Flying Cross
General,5912157,Adamo,Capin,9/14/2022,Kazakhstan,F-35,5356,242,Air Force Achievement Medal
Colonel,3497580,Abbe,Gregoletti,6/8/2022,Indonesia,F-16,5696,87,Air Force Commendation Medal
Major,6944208,Ulla,Dougharty,3/11/2023,Indonesia,F-35,113,303,Distinguished Flying Cross
Corporal,7180560,Phillida,Cremins,5/12/2022,South Korea,A-10,4871,864,Air Force Achievement Medal
Lieutenant,5630209,Tallie,Mueller,5/26/2022,Poland,F-35,9430,749,Air Force Commendation Medal
Private,1436030,Dewain,Finnimore,1/24/2023,China,F-16,4001,288,Air Force Achievement Medal
Colonel,5639120,Jerrilyn,Kempson,9/17/2022,United States,F-35,7725,50,Air Force Commendation Medal
Private,6075083,Rod,Kunert,6/29/2022,Belize,F-16,9021,415,Distinguished Flying Cross
Corporal,8391217,Miner,Harbach,12/23/2022,Portugal,F-16,1401,807,Distinguished Flying Cross
Lieutenant,6722629,Brittney,Stoyles,3/3/2023,Brazil,A-10,8410,828,Distinguished Flying Cross
Corporal,5177773,Nathanael,Decaze,12/28/2022,Canada,F-18,2742,68,Distinguished Flying Cross
Corporal,4511139,Nat,Cradick,8/19/2022,Indonesia,F-22,303,21,Air Force Achievement Medal
Colonel,9112830,Erinn,Kingswell,8/15/2022,New Zealand,A-10,2672,337,Air Medal
Private,3529271,Cate,Fleckness,8/23/2022,Indonesia,F-22,6317,565,Air Medal
Major,9755284,Bailey,Nanninini,1/3/2023,Philippines,A-10,2087,740,Distinguished Flying Cross
Major,1534795,Ernest,Tedahl,6/14/2022,China,F-16,851,160,Distinguished Flying Cross
Corporal,7766426,Ida,Sprott,9/20/2022,China,F-22,6184,968,Air Medal
Sergeant,3398239,Sky,Erdis,11/5/2022,China,F-16,8588,350,Distinguished Flying Cross
Sergeant,7769788,Mellisa,Perelli,6/22/2022,Bolivia,F-35,9810,699,Distinguished Flying Cross
Lieutenant,9758832,Margot,Baumber,11/8/2022,Nigeria,F-18,2773,659,Air Force Achievement Medal
Corporal,4593097,Lanna,McGonnell,4/5/2023,Paraguay,F-22,4611,746,Distinguished Flying Cross
Sergeant,3206690,Isac,McFadin,6/25/2022,Argentina,F-18,9187,839,Air Force Achievement Medal
Colonel,2715936,Tuck,Ruskin,7/21/2022,France,F-16,7763,321,Air Medal
Lieutenant,2756038,Rosabella,Sussex,6/2/2022,Portugal,F-22,6359,919,Air Medal
Lieutenant,3719982,Ania,Dinneges,7/28/2022,Botswana,A-10,8691,226,Distinguished Flying Cross
General,5765533,Anton,Omond,8/30/2022,Thailand,A-10,7566,241,Air Force Commendation Medal
Corporal,5084509,Hortensia,Alvarado,1/21/2023,Brazil,F-18,4920,348,Air Force Commendation Medal
Sergeant,2249858,Ema,Lynam,4/12/2022,China,F-18,6944,364,Air Force Achievement Medal
Captain,3447571,Romonda,Witson,7/18/2022,Ireland,F-16,4865,612,Air Force Commendation Medal
Sergeant,4717148,Gaspar,Maulin,7/12/2022,Russia,F-35,5757,448,Distinguished Flying Cross
Major,3951378,Nicoli,Joannidi,2/14/2023,Russia,F-16,2530,112,Distinguished Flying Cross
Colonel,9532829,Merline,Grogona,12/16/2022,Indonesia,F-22,5708,516,Distinguished Flying Cross
Corporal,5945910,Allister,Tailby,5/5/2022,Russia,A-10,6712,531,Air Medal
Lieutenant,8491498,Giacopo,Fountaine,11/23/2022,Canada,F-16,7890,944,Air Medal
Sergeant,5367315,Adolph,Hadwen,2/23/2023,Indonesia,F-18,4004,833,Distinguished Flying Cross
Captain,2885845,Maddy,Woodyeare,8/10/2022,Portugal,F-18,4681,975,Air Medal
Sergeant,3933155,Ortensia,Hasty,6/20/2022,Thailand,A-10,8201,998,Air Medal
Lieutenant,4096862,Jocko,Shimon,2/28/2023,China,F-18,2227,555,Air Force Achievement Medal
Corporal,5541101,Kimmie,Copping,6/7/2022,United States,F-22,9693,648,Air Medal
Colonel,1992146,Lisetta,Parris,1/2/2023,Nigeria,F-16,2432,421,Distinguished Flying Cross
Major,4341450,Ronnie,O'Fielly,8/22/2022,Pakistan,F-35,4657,67,Distinguished Flying Cross
Major,4457439,Kelwin,Inglesfield,10/20/2022,Indonesia,F-35,7721,399,Air Medal
General,4787414,Purcell,Itzkowicz,12/1/2022,China,F-22,4932,993,Air Force Achievement Medal
Corporal,9236608,Holly,Gherardini,5/14/2022,Indonesia,F-22,5497,778,Air Force Commendation Medal
Lieutenant,8109273,Consalve,MacCague,4/25/2022,Portugal,F-22,8152,668,Air Force Commendation Medal
Major,1750377,Reilly,Catterall,9/17/2022,Kazakhstan,F-35,568,931,Air Medal
General,6103854,Aidan,Rolf,1/1/2023,Philippines,F-35,5783,494,Air Force Achievement Medal
Captain,2749519,Tades,Redmain,11/13/2022,Panama,F-35,8595,254,Air Force Achievement Medal
Lieutenant,9595030,Joshuah,Streets,1/9/2023,Thailand,F-16,8596,809,Distinguished Flying Cross
Colonel,7744252,Eli,Winspurr,3/30/2023,Germany,F-18,2231,232,Air Force Achievement Medal
Colonel,6213154,Uta,Diem,7/5/2022,Bulgaria,F-35,592,519,Air Medal
General,3789941,Michaela,Chessun,1/25/2023,Poland,A-10,3538,810,Air Medal
Corporal,5366929,Richardo,Jermey,6/22/2022,Poland,F-16,847,433,Air Medal
Sergeant,4099229,Mord,Swoffer,1/4/2023,Philippines,F-22,7735,693,Air Force Achievement Medal
Captain,7482009,Aaren,Gergher,2/8/2023,Brazil,F-16,7653,622,Air Medal
Corporal,4105803,Ciel,O'Hagirtie,11/19/2022,France,F-18,1676,261,Air Force Commendation Medal
Lieutenant,4876998,Forest,Mordon,8/22/2022,Portugal,F-35,8753,443,Air Medal
Lieutenant,7940850,Finley,Goodley,6/8/2022,Latvia,F-35,3057,647,Air Force Achievement Medal
Captain,9506250,Ariadne,Brayfield,3/14/2023,Portugal,F-18,6463,654,Air Force Achievement Medal
Sergeant,4154495,Shepperd,Jeste,1/2/2023,Russia,F-16,779,44,Air Medal
Sergeant,7909513,Trudey,Bains,12/7/2022,China,A-10,4085,541,Distinguished Flying Cross
Sergeant,5967417,Malvin,Gerardot,10/5/2022,China,F-18,5280,695,Air Medal
